timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,prev_mag,mag,mag_delta,original_steps,binary
01:05.2,-3.141000032,-14.53305054,3.402000189,0.68076247,0.460487485,0.0009625,12.10454442,15.25283726,3.148292834,16,1
01:05.3,-1.16505003,-12.28695011,-3.079950094,2.626112461,-0.605825007,0.629887521,15.25283726,12.72055727,-2.53227999,16,0
01:05.4,0.060000002,-9.259050369,-0.373950005,1.694962502,-1.343374968,0.880962491,12.72055727,9.266792991,-3.453764276,16,0
01:05.4,1.504050016,-6.534000397,-0.690000057,1.192674994,-1.035787463,0.50751251,9.266792991,6.740283949,-2.526509042,16,0
01:05.5,0.07395,-6.505050182,0.838950038,0.349799991,-1.165587544,0.135987505,6.740283949,6.559343233,-0.180940717,16,0
01:05.6,-1.168050051,-8.167050362,4.806000233,-0.324912488,-0.146025002,0.127599999,6.559343233,9.547915519,2.988572287,16,0
01:05.7,-3.013950109,-10.4110508,5.08095026,-0.379087508,-0.176962495,0.095562503,9.547915519,11.97037717,2.422461647,16,0
01:05.8,-2.46600008,-18.07305145,5.821050167,-0.034375001,-0.349387497,0.451000005,11.97037717,19.14682664,7.176449471,16,1
01:05.8,-2.049000025,-7.579950333,-1.095000029,0.230587497,-0.135437503,0.104087502,19.14682664,7.927993013,-11.21883362,17,0
01:05.9,-1.183950067,-9.148950577,-0.520050049,-1.057099938,1.144824982,0.111512497,7.927993013,9.239885631,1.311892618,17,0
01:06.0,-1.690050125,-9.352950096,0.208950013,-1.218799949,1.095875025,-0.343887508,9.239885631,9.506713682,0.266828051,17,0
01:06.1,-2.017950058,-9.055950165,-0.384000003,-1.113474965,0.702075005,-0.400262505,9.506713682,9.286000852,-0.22071283,17,0
01:06.2,-1.764000058,-9.537000656,-0.247050017,-1.036887527,0.712800026,-0.483312488,9.286000852,9.701912772,0.41591192,17,0
01:06.2,-2.368050098,-10.69200039,0.633000016,-0.896362484,0.971300006,-0.435462505,9.701912772,10.96937658,1.267463811,17,0
01:06.3,-2.671950102,-11.41995049,4.438950062,-0.511087477,0.729712486,-0.327937484,10.96937658,12.54028963,1.570913051,17,1
01:06.4,-0.516000032,-13.25895023,1.363950014,1.476887465,0.262625009,0.250937492,12.54028963,13.33890464,0.798615006,18,0
01:06.5,-2.026950121,-12.41400051,-1.126049995,2.494250059,-1.04211247,0.656424999,13.33890464,12.62869447,-0.710210167,18,0
01:06.6,0.417000026,-8.137949944,-0.501000047,1.713112473,-1.257162452,0.839437485,12.62869447,8.164013679,-4.464680793,18,0
01:06.6,1.46295011,-5.806050301,-1.363050103,1.242725015,-1.078274965,0.305249989,8.164013679,6.140712394,-2.023301285,18,0
01:06.7,-0.175950006,-6.298950195,1.984050035,-0.060912501,-0.733562469,0.073287502,6.140712394,6.606374687,0.465662294,18,0
01:06.8,-2.569050074,-9.520050049,8.341050148,-0.339762509,-0.669624984,0.076449998,6.606374687,12.91528121,6.308906525,18,1
01:06.9,0.877050042,-10.35105038,5.152950287,-0.353650004,0.37963751,0.264824986,12.91528121,11.59596298,-1.319318236,18,0
01:07.0,0.574950039,-6.486000538,-2.127000093,-0.354612499,-0.0407,0.103124999,11.59596298,6.850029191,-4.745933785,19,0
01:07.0,-1.105050087,-8.770950317,-0.93900007,-1.005949974,0.865975022,0.073287502,6.850029191,8.890018352,2.03998916,19,0
01:07.1,-2.125950098,-9.480000496,-0.541950047,-1.344337463,1.297037482,-0.234300002,8.890018352,9.730559238,0.840540886,19,0
01:07.2,-1.744950056,-9.295050621,-0.477000028,-1.203950047,0.779762506,-0.488674998,9.730559238,9.469442738,-0.261116499,19,0
01:07.3,-0.646050036,-9.120000839,-0.762000024,-1.017637491,0.558387518,-0.46419999,9.469442738,9.17455394,-0.294888798,19,0
01:07.3,-1.726050138,-10.81605053,0.825000048,-0.921937466,1.122412443,-0.389674991,9.17455394,10.98393478,1.809380839,19,0
01:07.4,-2.54700017,-11.73795033,4.46505022,-0.371662498,0.744700015,-0.325874984,10.98393478,12.81418593,1.830251156,19,0
01:07.5,-1.59405005,-13.95405102,0.640950024,1.484312534,0.336050004,0.191399992,12.81418593,14.05942219,1.245236255,20,1
01:07.6,-3.076050043,-12.37500095,-2.173050165,2.59641242,-0.436562508,0.693687499,14.05942219,12.93541184,-1.124010349,20,0
01:07.7,0.643950045,-8.625,-0.742950022,1.630062461,-1.949887514,1.00553751,12.93541184,8.680856605,-4.254555236,20,0
01:07.7,0.676050007,-6.547950268,-1.012950063,1.042662501,-1.668974996,0.727787495,8.680856605,6.660237545,-2.02061906,20,0
01:07.8,1.387050033,-6.26295042,1.405050039,0.036987498,-1.091062546,0.446737498,6.660237545,6.56678166,-0.093455884,20,0
01:07.9,-2.238000154,-9.589950562,6.822000504,-0.507924974,-0.320650011,-0.026812499,6.56678166,11.97979496,5.413013302,20,0
01:08.0,-2.173950195,-9.789000511,4.2520504,-0.350349993,-0.230175003,0.253137499,11.97979496,10.891764,-1.088030961,20,0
01:08.1,5.037000179,-12.10005093,2.190000057,-0.423774987,-0.080162503,0.338250011,10.891764,13.28829197,2.396527968,20,1
01:08.1,-3.603000164,-11.56800079,0.624000013,-0.572825015,0.0188375,-0.27678749,13.28829197,12.13217328,-1.156118687,21,0
01:08.2,-1.83795011,-9.540000916,-0.783000052,-1.013375044,0.946824968,0.042350002,12.13217328,9.746936296,-2.385236986,21,0
01:08.3,-0.943050027,-9.604050636,-0.237000018,-1.2890625,0.869137466,-0.347050011,9.746936296,9.653149796,-0.0937865,21,0
01:08.4,-1.390050054,-8.602950096,-0.895950019,-1.130524993,0.601012468,-0.534462512,9.653149796,8.760463227,-0.892686569,21,0
01:08.5,-1.471950054,-9.417000771,-0.084000006,-1.09958744,0.637175024,-0.519474983,8.760463227,9.531715296,0.771252069,21,0
01:08.5,-2.535000086,-12.04500103,4.223999977,-0.899524987,0.969237506,-0.385412484,9.531715296,13.01347191,3.481756611,21,0
01:08.6,-3.727950096,-14.74605083,4.056000233,0.864875019,0.570074975,-0.028875001,13.01347191,15.74149818,2.728026276,21,1
01:08.7,-1.31400001,-12.90195084,-4.635000229,2.882687569,-0.49939999,0.635112524,15.74149818,13.77207895,-1.969419235,22,0
01:08.8,-0.274050027,-9.336000443,-0.769050062,1.675850034,-0.882475019,0.992749989,13.77207895,9.37162983,-4.400449117,22,0
01:08.9,1.528050065,-5.716950417,-0.79095006,1.335262537,-1.379537463,0.667150021,9.37162983,5.97026474,-3.40136509,22,0
01:08.9,0.580050051,-6.436050415,0.058950003,0.442474991,-1.017637491,0.196762502,5.97026474,6.462404979,0.492140239,22,0
01:09.0,-1.24695003,-8.959950447,6.550950527,-0.476024985,-0.256712496,0.064762503,6.462404979,11.16917854,4.706773559,22,0
01:09.1,-1.872000098,-9.340950012,5.116950035,-0.25575,-0.107799999,0.130762503,11.16917854,10.81392201,-0.355256531,22,0
01:09.2,2.893050194,-17.60595131,6.220950127,-0.564300001,-0.057750002,0.501049995,10.81392201,18.89548839,8.081566381,23,1
01:09.2,-3.289950132,-11.25000095,-1.231050014,-0.163075,-0.081124999,-0.120449997,18.89548839,11.78565982,-7.109828564,23,0
01:09.3,-1.618050098,-9.978000641,-0.891000032,-1.103850007,1.124612451,0.049912501,11.78565982,10.14753487,-1.638124952,23,0
01:09.4,-0.835050046,-9.334050179,0.286050022,-1.429450035,1.083087444,-0.388574988,10.14753487,9.375693357,-0.771841514,23,0
01:09.5,-2.260050058,-9.064949989,-0.265950024,-1.133687496,0.43711251,-0.587537467,9.375693357,9.346222445,-0.029470912,23,0
01:09.6,-0.933000028,-9.528000832,-0.261000007,-0.939949989,0.781962514,-0.401362509,9.346222445,9.577129523,0.230907078,23,0
01:09.6,-2.643000126,-11.85300064,3.190950155,-0.867624998,0.861712515,-0.398200005,9.577129523,12.55632258,2.979193058,23,0
01:09.7,-5.136000156,-15.11805058,6.204000473,0.681862473,0.590287507,0.021175001,12.55632258,17.12961099,4.573288409,23,1
01:09.8,-1.881000042,-13.84305096,-5.866050243,3.38607502,-0.754737496,0.729849994,17.12961099,15.15185686,-1.977754127,24,0
01:09.9,-1.102950096,-9.139950752,-0.931950033,2.016437531,-1.052837491,0.96085,15.15185686,9.253309113,-5.898547751,24,0
01:10.0,0.970050037,-5.599950314,-0.826950014,1.389575005,-1.833974957,0.625625014,9.253309113,5.743194835,-3.510114277,24,0
01:10.1,0.810000062,-6.424050331,1.189050078,0.56911248,-1.587025046,0.278712511,5.743194835,6.583187894,0.839993059,24,0
